RowNumber,CustomerId,Exited
1,15634602,1
2,15647311,0
3,15619304,1
4,15701354,0
5,15737888,0
6,15574012,1
7,15592531,0
8,15656148,1
9,15792365,0
10,15592389,0
11,15767821,0
12,15737173,0
13,15632264,0
14,15691483,0
15,15600882,0
16,15643966,0
17,15737452,1
18,15788218,0
19,15661507,0
20,15568982,0
21,15577657,0
22,15597945,0
23,15699309,1
24,15725737,0
25,15625047,0
26,15738191,0
27,15736816,0
28,15700772,0
29,15728693,0
30,15656300,0
31,15589475,1
32,15706552,0
33,15750181,0
34,15659428,0
35,15732963,0
36,15794171,1
37,15788448,0
38,15729599,0
39,15717426,0
40,15585768,0
41,15619360,0
42,15738148,1
43,15687946,0
44,15755196,1
45,15684171,0
46,15754849,0
47,15602280,1
48,15771573,1
49,15766205,0
50,15771873,0
51,15616550,0
52,15768193,0
53,15683553,0
54,15702298,1
55,15569590,1
56,15760861,0
57,15630053,0
58,15647091,0
59,15623944,1
60,15804771,0
61,15651280,0
62,15773469,0
63,15702014,0
64,15751208,0
65,15592461,0
66,15789484,0
67,15696061,0
68,15641582,0
69,15638424,0
70,15755648,0
71,15703793,1
72,15620344,0
73,15812518,0
74,15779052,0
75,15770811,0
76,15780961,0
77,15614049,0
78,15662085,0
79,15575185,0
80,15803136,0
81,15706021,0
82,15663706,1
83,15641732,0
84,15701164,0
85,15738751,0
86,15805254,0
87,15762418,1
88,15625759,0
89,15622897,1
90,15767954,0
91,15757535,1
92,15731511,0
93,15809248,0
94,15640635,0
95,15676966,0
96,15699461,0
97,15738721,0
98,15693683,0
99,15604348,0
100,15633059,0
101,15808582,0
102,15743192,0
103,15580146,0
104,15776605,0
105,15804919,1
106,15613854,1
107,15599195,0
108,15812878,0
109,15602312,0
110,15744689,1
111,15803526,0
112,15665790,0
113,15715951,0
114,15591100,0
115,15609618,1
116,15675522,0
117,15705512,0
118,15698028,0
119,15661670,1
120,15600781,0
121,15682472,0
122,15580203,0
123,15690673,0
124,15760085,0
125,15779659,0
126,15627360,1
127,15671137,1
128,15782688,1
129,15575492,0
130,15591607,0
131,15740404,0
132,15718369,0
133,15677871,0
134,15642004,0
135,15712543,0
136,15584518,0
137,15802381,0
138,15610156,0
139,15594408,1
140,15640905,1
141,15698932,0
142,15724944,0
143,15628145,0
144,15713483,1
145,15612350,1
146,15800703,0
147,15705707,0
148,15754105,0
149,15703264,0
150,15794413,0
151,15650237,0
152,15759618,1
153,15811589,0
154,15689044,0
155,15709368,0
156,15679145,1
157,15655007,0
158,15623595,0
159,15589975,0
160,15804017,0
161,15692132,0
162,15641122,0
163,15630910,0
164,15680772,0
165,15658929,1
166,15585388,0
167,15724623,1
168,15588537,0
169,15574692,1
170,15611325,0
171,15587562,0
172,15613172,0
173,15651022,1
174,15586310,0
175,15625524,0
176,15755209,0
177,15645248,0
178,15790355,0
179,15762615,0
180,15625426,1
181,15716334,0
182,15789669,0
183,15621075,0
184,15810845,0
185,15719377,1
186,15654506,0
187,15771977,0
188,15708710,0
189,15726676,0
190,15587421,0
191,15726931,1
192,15771086,0
193,15756850,0
194,15702741,0
195,15679200,0
196,15594815,0
197,15635905,0
198,15777892,0
199,15656176,0
200,15811127,0
201,15604482,0
202,15622911,0
203,15600974,1
204,15727868,1
205,15627801,0
206,15773039,0
207,15755262,1
208,15679531,0
209,15684181,1
210,15612087,0
211,15752047,0
212,15624592,0
213,15573152,0
214,15594917,0
215,15785542,0
216,15723488,1
217,15680920,0
218,15786308,0
219,15659366,1
220,15774854,1
221,15725311,0
222,15787155,0
223,15727829,0
224,15733247,1
225,15568748,1
226,15699029,0
227,15774393,0
228,15676895,1
229,15637753,1
230,15605461,0
231,15808473,0
232,15627000,0
233,15787174,0
234,15723886,0
235,15704769,0
236,15772896,1
